PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,Transported,Deck,Num,Side
0001_01,1,0,2,39,0,0,1,0,0
0002_01,0,0,2,24,0,1,5,0,1
0003_01,1,0,2,58,1,0,0,0,1
0003_02,1,0,2,33,0,0,0,0,1
0004_01,0,0,2,16,0,1,5,1,1
0005_01,0,0,1,44,0,1,5,0,0
0006_01,0,0,2,26,0,1,5,2,1
0006_02,0,1,2,28,0,1,6,0,1
0007_01,0,0,2,35,0,1,5,3,1
0008_01,1,1,0,14,0,1,1,1,0
0008_02,1,1,2,34,0,1,1,1,0
0008_03,1,0,0,45,0,1,1,1,0
0009_01,2,0,2,32,0,1,5,1,0
0010_01,0,0,2,48,0,0,6,1,1
0011_01,0,0,2,28,0,1,5,2,0
0012_01,0,0,2,31,0,0,5,82,1
0014_01,2,0,0,27,0,0,5,3,0
0015_01,0,0,0,24,0,0,5,4,0
0016_01,2,1,2,45,0,1,5,5,0
0017_01,0,0,2,0,0,1,6,0,0
0017_02,0,0,0,14,0,0,5,6,0
0020_01,0,1,2,1,0,0,4,0,1
0020_02,0,1,0,49,0,0,4,0,1
0020_03,0,1,0,29,0,0,4,0,1
0020_04,0,0,2,10,0,1,4,0,1
0020_05,0,1,1,1,0,0,4,0,1
0020_06,0,0,2,7,0,0,4,0,1
0022_01,2,0,2,21,0,0,3,0,0
0024_01,1,1,2,62,0,1,2,2,1
0025_01,0,0,2,15,0,0,5,6,1
0026_01,1,0,0,34,0,0,2,0,0
0028_01,2,0,2,43,0,0,5,8,0
0030_01,0,0,2,32,0,0,6,4,1
0031_01,2,0,2,47,0,1,5,9,0
0031_02,2,0,2,2,0,1,5,9,0
0031_03,2,0,2,20,0,1,5,9,0
0034_01,1,1,0,28,0,1,3,1,1
0035_01,2,0,0,23,0,0,3,1,0
0036_01,0,0,0,15,0,0,5,8,1
0038_01,0,0,0,20,0,0,5,10,1
0039_01,0,1,0,30,0,0,6,1,0
0041_01,0,1,2,17,0,1,6,2,0
0043_01,1,0,2,45,0,0,1,3,0
0044_01,0,1,2,55,0,0,6,3,0
0044_02,0,1,0,4,0,1,6,3,0
0044_03,0,1,1,21,0,1,6,3,0
0045_01,2,0,2,21,0,0,5,10,0
0045_02,2,1,2,19,0,1,5,10,0
0050_01,0,0,0,35,0,0,4,1,1
0051_01,0,0,2,56,0,0,4,2,1
0052_01,0,0,2,27,0,0,6,6,1
0053_01,0,0,2,25,0,1,5,11,1
0056_01,1,0,2,2,0,1,0,1,1
0056_02,1,1,2,38,0,1,0,1,1
0056_03,1,0,2,27,0,1,0,1,1
0058_01,0,1,1,36,0,0,6,7,1
0061_01,0,0,2,22,0,0,5,12,1
0062_01,0,0,2,62,0,0,5,13,1
0064_01,2,1,2,15,0,1,5,14,1
0064_02,0,1,2,33,0,1,4,3,1
0066_01,0,0,2,62,0,0,6,6,0
0067_01,0,1,1,0,0,1,6,10,1
0067_02,0,0,2,18,0,1,6,10,1
0067_03,0,0,0,21,0,0,5,15,1
0068_01,2,0,2,27,0,0,4,4,1
