PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Deck,Num,Side
0001_01,1,0,2,39,0,0,0,0,0,0,False,1,0,0
0002_01,0,0,2,24,0,109,9,25,456,44,True,5,0,1
0003_01,1,0,2,58,1,43,1206,0,1273,49,False,0,0,1
0003_02,1,0,2,33,0,0,806,332,1132,187,False,0,0,1
0004_01,0,0,2,16,0,277,69,149,470,2,True,5,1,1
0005_01,0,0,1,44,0,0,393,0,272,0,True,5,0,0
0006_01,0,0,2,26,0,42,891,3,0,0,True,5,2,1
0006_02,0,1,2,28,0,0,0,0,0,1306,True,6,0,1
0007_01,0,0,2,35,0,0,599,17,208,0,True,5,3,1
0008_01,1,1,0,14,0,0,0,0,0,0,True,1,1,0
0008_02,1,1,2,34,0,0,0,1115,0,0,True,1,1,0
0008_03,1,0,0,45,0,39,1405,486,109,122,True,1,1,0
0009_01,2,0,2,32,0,73,0,809,0,112,True,5,1,0
0010_01,0,0,2,48,0,582,1,65,0,24,False,6,1,1
0011_01,0,0,2,28,0,8,713,12,2,7,True,5,2,0
0012_01,0,0,2,31,0,32,0,705,0,0,False,5,82,1
0014_01,2,0,0,27,0,900,117,1115,0,0,False,5,3,0
0015_01,0,0,0,24,0,0,1,0,0,533,False,5,4,0
0016_01,2,1,2,45,0,0,0,0,0,0,True,5,5,0
0017_01,0,0,2,0,0,0,0,0,0,0,True,6,0,0
0017_02,0,0,0,14,0,353,0,1,0,561,False,5,6,0
0020_01,0,1,2,1,0,0,0,0,0,0,False,4,0,1
0020_02,0,1,0,49,0,0,0,0,0,0,False,4,0,1
0020_03,0,1,0,29,0,0,0,1115,0,0,False,4,0,1
0020_04,0,0,2,10,0,0,0,0,0,0,True,4,0,1
0020_05,0,1,1,1,0,1273,0,0,0,0,False,4,0,1
0020_06,0,0,2,7,0,0,0,0,0,0,False,4,0,1
0022_01,2,0,2,21,0,756,2,68,0,0,False,3,0,0
0024_01,1,1,2,62,0,0,0,1115,0,0,True,2,2,1
0025_01,0,0,2,15,0,0,209,0,747,0,False,5,6,1
0026_01,1,0,0,34,0,22,1368,0,874,292,False,2,0,0
0028_01,2,0,2,43,0,824,0,134,48,0,False,5,8,0
0030_01,0,0,2,32,0,0,646,80,379,391,False,6,4,1
0031_01,2,0,2,47,0,205,0,885,0,818,True,5,9,0
0031_02,2,0,2,2,0,0,0,0,0,0,True,5,9,0
0031_03,2,0,2,20,0,1273,0,951,743,0,True,5,9,0
0034_01,1,1,0,28,0,0,0,0,0,0,True,3,1,1
0035_01,2,0,0,23,0,633,707,0,731,0,False,3,1,0
0036_01,0,0,0,15,0,0,401,48,20,352,False,5,8,1
0038_01,0,0,0,20,0,459,183,0,1068,0,False,5,10,1
0039_01,0,1,0,30,0,0,0,1115,0,0,False,6,1,0
0041_01,0,1,2,17,0,0,0,0,0,0,True,6,2,0
0043_01,1,0,2,45,0,0,155,45,1058,683,False,1,3,0
0044_01,0,1,2,55,0,0,0,0,0,0,False,6,3,0
0044_02,0,1,0,4,0,0,0,0,0,0,True,6,3,0
0044_03,0,1,1,21,0,0,0,0,0,0,True,6,3,0
0045_01,2,0,2,21,0,752,0,174,0,64,False,5,10,0
0045_02,2,1,2,19,0,0,0,0,0,0,True,5,10,0
0050_01,0,0,0,35,0,637,0,0,1327,0,False,4,1,1
0051_01,0,0,2,56,0,0,108,0,857,125,False,4,2,1
0052_01,0,0,2,27,0,4,0,2,1216,0,False,6,6,1
0053_01,0,0,2,25,0,0,0,986,0,1,True,5,11,1
0056_01,1,0,2,2,0,0,0,0,0,0,True,0,1,1
0056_02,1,1,2,38,0,0,0,0,0,0,True,0,1,1
0056_03,1,0,2,27,0,259,474,1074,267,3,True,0,1,1
0058_01,0,1,1,36,0,0,0,0,0,0,False,6,7,1
0061_01,0,0,2,22,0,45,750,146,856,1,False,5,12,1
0062_01,0,0,2,62,0,0,462,0,17,25,False,5,13,1
0064_01,2,1,2,15,0,0,0,0,0,0,True,5,14,1
0064_02,0,1,2,33,0,0,0,1115,0,0,True,4,3,1
0066_01,0,0,2,62,0,1,145,191,0,394,False,6,6,0
0067_01,0,1,1,0,0,0,0,0,0,0,True,6,10,1
0067_02,0,0,2,18,0,1,237,387,0,0,True,6,10,1
0067_03,0,0,0,21,0,1064,37,0,0,24,False,5,15,1
0068_01,2,0,2,27,0,639,0,2,240,0,False,4,4,1
0069_01,0,0,2,42,0,703,0,9,6,0,True,5,16,1
0070_01,0,0,2,19,0,183,0,5,1,595,False,5,13,0
0071_01,0,0,2,17,0,16,1016,0,0,52,False,5,14,0
0072_01,0,0,2,14,0,0,1,0,0,763,False,5,17,1
0073_01,2,0,1,37,0,46,81,611,0,12,False,3,3,0
0074_01,1,0,2,42,0,1,1430,0,0,431,True,2,3,1
0076_01,2,0,2,27,0,143,0,769,0,0,True,5,18,1
0077_01,2,0,2,28,0,14,0,853,0,0,True,5,15,0
0078_01,1,0,2,38,0,0,1361,0,297,1275,False,2,4,1
0081_01,0,1,2,13,0,0,0,0,0,0,False,6,13,1
0082_01,2,0,2,42,0,1263,0,0,0,0,False,5,16,0
0082_02,2,1,2,2,0,0,0,0,0,0,True,5,16,0
0082_03,2,0,2,8,0,0,0,0,0,0,True,5,16,0
0084_01,0,0,2,24,0,556,0,0,0,17,True,6,14,1
0085_01,1,1,2,40,0,0,0,0,0,0,True,2,5,1
0086_01,0,0,2,43,0,202,0,0,523,436,False,5,17,0
0088_01,2,1,1,45,0,0,0,0,0,0,True,4,5,1
0090_01,0,1,2,35,0,0,0,0,0,0,True,6,15,1
0091_01,0,1,2,26,0,1273,0,0,0,0,True,6,16,1
0091_02,0,0,2,27,0,1,535,31,181,0,False,5,20,1
0092_01,0,0,2,19,0,0,0,556,1,34,False,6,9,0
0092_02,0,1,2,0,0,0,0,1115,0,0,True,6,9,0
0092_03,0,1,2,3,0,0,0,0,0,0,True,6,9,0
0097_01,1,0,2,54,0,0,785,0,3,533,False,0,2,1
0098_01,0,0,2,26,0,0,649,5,32,0,False,6,11,0
0098_02,0,0,2,26,0,0,1108,748,0,87,True,6,11,0
0099_01,0,0,1,23,0,283,353,440,37,0,False,5,19,0
0099_02,0,0,2,2,0,0,0,0,0,0,True,6,12,0
0101_01,2,1,2,31,0,0,0,0,0,0,True,5,82,1
0102_01,0,0,2,18,0,0,0,0,673,91,False,5,23,1
0103_01,0,0,2,24,0,0,1507,0,0,17,True,5,24,1
0103_02,0,1,0,9,0,0,0,0,0,0,True,6,18,1
0103_03,0,1,2,6,0,0,0,0,0,0,False,6,18,1
0105_01,0,0,2,27,0,0,0,475,2,129,False,5,21,0
0107_01,2,0,2,21,0,1022,5,17,0,0,False,3,2,1
0108_01,0,1,2,23,0,0,0,0,0,0,False,6,19,1
0108_02,0,0,2,31,0,464,0,298,0,0,False,6,19,1
0108_03,0,0,2,0,0,0,0,0,0,0,True,6,19,1
0110_01,1,0,2,32,0,0,341,6,1170,621,False,5,82,1
0110_02,1,0,2,40,0,0,293,0,0,942,False,1,5,0
0110_03,1,0,2,42,0,1109,1470,0,980,384,True,1,5,0
0110_04,1,1,2,28,0,0,0,0,0,0,True,1,5,0
0111_01,1,1,2,29,0,0,0,0,0,0,True,4,6,1
0112_01,1,0,0,48,1,0,1074,86,17,13,True,1,1,1
0113_01,0,0,2,64,0,0,0,662,0,0,True,5,23,0
0114_01,0,0,2,27,0,82,149,374,226,1,False,6,20,1
0115_01,2,0,2,26,0,0,0,0,0,1306,True,5,24,0
0116_01,1,0,2,33,0,1,1028,0,12,355,True,3,4,0
0119_01,0,0,2,39,0,0,1043,0,65,1242,False,0,0,0
0119_02,1,1,2,13,0,0,0,0,0,0,True,0,0,0
0120_01,2,1,2,24,0,0,0,0,0,1306,True,5,25,0
0122_01,0,0,2,29,0,0,0,0,572,74,False,6,21,1
0123_01,0,0,2,18,0,55,467,49,0,1,False,5,27,0
0126_01,2,1,2,67,0,0,0,0,0,0,True,5,27,1
0127_01,2,0,2,35,0,566,0,272,0,25,False,4,7,1
0128_01,2,0,2,61,1,1128,295,9,293,2,False,3,3,1
0128_02,2,0,2,45,0,1097,6,0,0,0,False,4,8,1
0129_01,0,1,1,22,0,0,0,1115,0,0,True,6,22,1
0133_01,2,1,2,19,0,0,0,0,0,0,True,5,29,1
0133_02,2,0,2,36,0,1163,0,0,0,0,False,3,5,1
0134_01,0,0,2,19,0,0,14,606,0,0,True,6,17,0
0136_01,0,0,1,47,0,97,347,124,25,55,False,6,23,1
0138_01,0,1,2,13,0,0,0,0,0,0,True,6,18,0
0138_02,0,0,2,34,0,0,22,0,469,199,False,4,5,0
0139_01,1,1,0,35,0,0,0,0,0,0,True,2,6,1
0140_01,0,1,2,24,0,0,0,0,0,0,True,6,19,0
0140_02,0,0,2,26,0,378,0,0,0,396,False,5,29,0
0141_01,2,0,2,31,0,1273,0,96,0,0,False,5,30,0
0144_01,0,0,2,20,0,0,349,202,0,0,True,5,31,1
0146_01,0,0,2,56,0,0,0,0,0,0,False,6,25,1
0147_01,0,1,2,50,0,0,0,0,0,0,True,6,26,1
0148_01,2,0,2,42,0,800,0,10,0,76,False,5,31,0
0149_01,0,1,0,27,0,0,0,0,0,0,True,6,27,1
0151_01,0,1,0,38,0,0,0,0,0,0,False,6,20,0
0152_01,0,0,2,41,0,0,0,0,0,508,False,5,32,0
0160_01,0,0,2,22,0,1234,0,0,0,61,False,6,22,0
0163_01,1,1,2,26,0,0,0,0,0,0,True,1,8,0
0163_02,1,1,2,17,0,0,0,0,0,0,True,1,8,0
0164_01,0,0,2,57,0,50,930,0,1327,132,True,6,28,1
0164_02,0,1,1,17,0,0,0,0,0,0,False,6,28,1
0165_01,2,1,2,35,0,0,0,0,0,0,True,5,37,0
0167_01,2,1,2,13,0,0,0,0,0,0,True,5,35,1
0167_02,2,0,2,27,0,924,0,48,22,134,False,5,35,1
0169_01,0,1,2,31,0,0,0,0,0,0,False,6,23,0
0170_01,0,0,2,24,0,0,0,0,212,481,False,4,10,1
0171_01,0,1,1,19,0,0,0,0,0,0,True,6,30,1
0172_01,0,1,2,32,0,0,0,0,0,0,True,6,24,0
0173_01,0,0,2,58,0,0,717,0,5,0,True,4,11,1
0174_01,0,0,0,21,0,265,0,16,113,169,False,5,38,0
0177_01,1,0,2,38,0,0,1462,1,1319,1015,False,1,2,1
0178_01,2,0,2,38,0,1204,0,158,28,117,False,3,6,1
0179_01,0,0,2,19,0,1,203,558,2,11,True,6,26,0
0179_02,0,0,2,0,0,0,0,0,0,0,False,6,26,0
0179_03,0,0,2,3,0,0,0,0,0,0,True,6,26,0
0181_01,0,0,2,20,0,0,0,3,279,92,False,6,27,0
0182_01,1,1,2,24,0,0,0,0,0,0,True,2,3,0
0183_01,0,0,2,37,0,17,140,373,0,219,True,5,36,1
0186_01,0,0,2,25,0,62,0,0,0,725,False,6,28,0
0188_01,0,1,2,56,0,0,0,0,0,0,True,6,31,1
0189_01,0,0,0,49,0,84,3,354,195,98,False,4,8,0
0190_01,0,1,0,11,0,0,0,0,0,0,False,6,32,1
0192_01,0,1,2,1,0,0,0,0,0,0,True,6,29,0
0192_02,0,0,2,8,0,0,0,0,0,0,False,6,29,0
0192_03,0,0,2,39,0,0,0,10,711,0,False,6,29,0
0193_01,2,1,2,2,0,0,0,0,0,0,True,5,41,0
0193_02,2,0,2,23,0,1273,0,8,770,0,False,5,41,0
0193_03,2,0,2,0,0,0,0,0,0,0,True,5,41,0
0195_01,2,0,2,39,0,351,0,696,0,0,True,5,42,0
0196_01,2,0,1,25,0,792,0,599,0,7,False,3,5,0
0197_01,1,0,2,36,0,0,711,0,650,487,False,2,5,0
0198_01,0,0,1,52,0,0,0,0,0,0,True,6,30,0
0199_01,0,1,2,18,0,0,0,0,0,0,False,6,33,1
0200_01,0,1,2,15,0,0,0,0,0,0,True,6,31,0
0201_01,1,1,2,35,0,0,0,0,0,0,True,1,3,1
0201_02,1,1,2,47,0,0,0,0,0,0,True,1,3,1
0202_01,1,1,0,45,0,0,0,0,0,0,True,1,9,0
0202_02,1,0,0,27,0,0,1059,1115,701,382,True,0,2,0
0203_01,1,1,2,51,0,0,0,0,0,0,True,2,8,1
0205_01,0,0,2,29,0,0,2,66,0,580,False,6,34,1
0206_01,1,0,0,27,0,2,933,12,782,120,True,2,9,1
0207_01,0,1,1,19,0,0,0,0,0,0,False,6,32,0
0210_01,0,1,0,24,0,0,0,1115,0,0,True,3,6,0
0211_01,2,0,2,29,0,713,1,135,0,0,True,5,44,0
0211_02,2,1,2,11,0,0,0,0,0,0,True,5,44,0
0211_03,2,0,2,17,0,674,0,282,176,0,False,5,44,0
0212_01,0,0,2,13,0,185,0,0,51,605,False,4,9,0
0212_02,0,0,2,35,0,143,178,0,10,341,False,5,45,0
0213_01,0,0,2,21,0,321,256,0,0,143,False,5,46,0
0216_01,0,0,0,21,0,0,56,0,0,977,False,5,40,1
0217_01,0,0,2,38,0,967,0,0,27,0,False,5,47,0
0219_01,0,1,2,19,0,0,0,0,0,0,True,6,36,0
0220_01,0,1,2,2,0,0,0,0,0,0,True,6,37,0
0220_02,0,0,2,0,0,0,0,0,0,0,True,6,37,0
0220_03,0,1,2,13,0,0,0,0,0,0,False,6,37,0
0220_04,0,0,2,25,0,120,82,1115,0,0,False,4,10,0
0220_05,0,0,2,16,0,0,3,0,0,773,False,5,48,0
0220_06,0,0,0,1,0,0,0,0,0,0,False,6,37,0
0220_07,0,1,2,15,0,0,0,0,0,0,True,6,37,0
0221_01,2,0,0,21,0,1116,0,117,0,0,False,4,13,1
0221_02,2,0,2,23,0,863,78,1,2,0,False,4,13,1
0221_03,2,0,2,33,0,1062,12,182,1,0,False,4,13,1
0221_04,2,1,2,21,0,0,0,0,0,0,True,4,13,1
0221_05,2,0,2,41,0,873,0,277,43,750,False,4,13,1
0221_06,2,0,2,16,0,721,0,212,222,0,False,4,13,1
0221_07,2,1,2,42,0,0,0,0,0,0,False,4,13,1
0222_01,2,0,2,20,0,939,0,0,11,0,False,5,41,1
0222_02,2,1,2,24,0,0,0,0,0,0,True,5,41,1
0222_03,2,1,2,16,0,0,0,0,0,0,True,4,14,1
0223_01,0,0,2,21,0,0,2,552,0,9,False,6,35,1
0224_01,2,0,2,32,1,176,0,5,929,0,False,5,42,1
0225_01,0,1,1,58,0,0,0,0,0,0,True,6,38,0
0229_01,0,0,2,24,0,4,7,0,582,79,False,5,43,1
0231_01,2,0,2,30,0,85,0,1,947,0,False,5,44,1
0232_01,0,1,1,27,0,0,1507,0,0,0,False,6,36,1
0233_01,2,0,2,32,0,56,0,239,874,0,False,5,45,1
0234_01,0,0,2,43,0,1273,669,0,0,0,False,5,50,0
0237_01,1,1,2,42,0,0,0,0,0,0,True,1,11,0
0239_01,2,0,2,37,0,522,0,0,92,284,False,5,82,1
0240_01,2,1,2,35,0,0,0,0,0,0,True,5,52,0
0241_01,1,0,0,33,0,0,795,0,1222,779,False,4,11,0
0242_01,0,0,2,18,0,285,1,573,264,0,False,5,46,1
0243_01,0,1,2,21,0,0,0,0,0,0,False,6,37,1
0244_01,2,1,2,43,0,0,0,0,0,0,True,5,82,1
0244_02,2,1,0,14,0,0,0,0,0,0,True,5,47,1
0245_01,1,0,0,46,0,0,1205,0,0,7,True,2,6,0
0245_02,1,0,2,33,0,0,84,655,483,1286,False,2,6,0
0246_01,2,0,2,21,0,1176,0,265,27,0,False,3,8,0
0248_01,1,0,2,33,0,0,1,0,1293,763,False,2,10,1
0250_01,0,1,1,47,0,1273,0,0,0,0,False,6,38,1
0251_01,0,1,0,54,0,0,0,0,0,0,True,2,11,1
0252_01,0,0,2,30,0,300,533,452,0,0,False,5,53,0
0253_01,0,0,2,29,0,254,480,0,0,1,False,6,42,0
0254_01,0,0,2,21,0,567,163,359,2,6,True,5,54,0
0255_01,1,1,2,24,0,0,0,0,0,0,True,0,3,1
0257_01,2,0,0,21,0,1000,0,1115,0,0,False,5,49,1
0257_02,2,1,2,60,0,0,0,0,0,0,True,5,49,1
0258_01,0,0,2,22,0,0,0,287,279,92,False,5,50,1
0260_01,1,0,2,26,0,0,1319,0,740,1004,False,4,16,1
0261_01,0,0,2,26,0,66,29,0,0,652,False,5,56,0
0263_01,0,1,2,28,0,0,0,0,0,0,True,6,43,0
0265_01,1,1,2,39,0,0,0,0,1327,0,True,3,8,1
0267_01,0,0,2,13,0,117,0,0,619,1,False,5,51,1
0269_01,0,0,0,47,0,0,215,488,0,0,True,5,52,1
0270_01,0,0,2,63,0,0,25,126,0,821,False,5,59,0
0275_01,1,1,0,27,0,0,0,0,0,0,True,3,9,1
0277_01,0,0,0,50,0,44,1051,0,53,0,True,5,61,0
